Blue,Green,Red,Label
71,24,63,black
75,58,38,black
57,0,43,black
18,0,30,black
0,3,5,black
67,0,57,black
23,40,0,black
0,10,73,black
0,63,15,black
18,57,0,black
40,0,62,black
31,0,62,black
33,1,17,black
47,21,37,black
15,15,0,black
46,0,59,black
72,52,5,black
19,52,1,black
12,73,73,black
49,47,0,black
0,0,6,black
16,57,0,black
0,60,41,black
0,61,7,black
33,75,35,black
0,65,6,black
32,59,73,black
9,5,24,black
57,19,72,black
50,36,42,black
0,0,11,black
45,61,38,black
71,47,39,black
31,58,7,black
70,67,69,black
0,47,33,black
30,61,9,black
0,71,38,black
0,4,37,black
10,0,0,black
77,1,19,black
16,70,0,black
0,24,68,black
42,2,36,black
0,12,0,black
7,57,26,black
0,23,0,black
60,2,37,black
72,7,0,black
52,41,16,black
0,16,0,black
35,0,55,black
25,2,47,black
0,4,0,black
24,25,43,black
0,22,0,black
0,35,43,black
76,64,42,black
0,48,72,black
73,0,59,black
66,63,29,black
45,0,76,black
46,75,14,black
37,0,15,black
44,0,0,black
30,35,0,black
35,53,60,black
3,55,13,black
47,75,0,black
41,37,52,black
33,66,69,black
54,0,0,black
9,63,9,black
0,47,0,black
43,57,59,black
58,62,46,black
46,0,57,black
0,0,0,black
0,17,0,black
57,61,67,black
0,0,45,black
64,67,23,black
18,0,12,black
18,0,25,black
35,77,17,black
38,33,53,black
65,0,4,black
5,45,0,black
63,74,51,black
34,0,45,black
53,29,0,black
66,27,0,black
36,43,51,black
39,26,0,black
24,3,48,black
0,21,73,black
7,64,47,black
33,34,18,black
60,20,0,black
65,9,6,black
51,49,63,black
54,76,17,black
21,28,0,black
54,0,51,black
54,33,0,black
66,0,6,black
0,24,2,black
63,51,70,black
45,0,0,black
0,1,0,black
0,0,62,black
66,44,30,black
33,50,0,black
64,49,54,black
0,22,23,black
48,67,68,black
56,55,47,black
0,0,16,black
0,57,72,black
0,46,16,black
58,20,70,black
45,47,29,black
5,48,65,black
24,46,18,black
0,0,36,black
50,35,36,black
13,5,32,black
69,56,0,black
59,54,62,black
48,3,40,black
0,49,0,black
55,20,0,black
47,0,29,black
14,57,38,black
24,37,7,black
43,61,0,black
38,0,21,black
0,33,0,black
54,0,25,black
0,56,5,black
12,74,58,black
6,0,0,black
0,49,18,black
11,75,76,black
71,14,0,black
0,0,51,black
4,18,66,black
0,0,41,black
68,64,30,black
41,27,0,black
68,72,17,black
9,0,0,black
57,66,76,black
20,73,21,black
27,14,0,black
0,67,32,black
55,49,50,black
12,0,72,black
0,0,27,black
51,0,0,black
26,0,16,black
70,0,27,black
0,19,76,black
13,0,55,black
61,9,0,black
50,0,13,black
51,33,0,black
23,0,0,black
35,26,0,black
9,41,60,black
0,0,17,black
17,53,23,black
60,0,31,black
0,69,46,black
57,0,0,black
26,35,71,black
10,0,38,black
30,0,38,black
61,1,0,black
0,18,0,black
43,69,39,black
67,59,19,black
0,0,5,black
0,50,71,black
22,48,0,black
44,11,0,black
43,58,58,black
75,1,2,black
76,15,35,black
44,13,70,black
22,0,68,black
51,57,13,black
0,51,40,black
0,65,17,black
11,0,0,black
70,0,13,black
62,60,11,black
31,40,32,black
55,4,0,black
0,40,72,black
8,7,67,black
0,70,67,black
0,40,0,black
45,0,47,black
66,0,17,black
5,18,0,black
0,0,9,black
6,51,44,black
61,31,18,black
58,34,59,black
0,23,0,black
21,19,67,black
0,41,61,black
7,48,75,black
30,62,0,black
52,38,36,black
7,54,75,black
0,61,14,black
19,0,16,black
3,0,18,black
47,75,27,black
0,42,40,black
0,44,58,black
36,0,0,black
0,0,71,black
0,64,27,black
6,0,22,black
63,0,47,black
14,50,0,black
58,31,70,black
15,62,4,black
3,30,0,black
66,33,0,black
47,57,12,black
42,54,30,black
46,36,30,black
75,0,57,black
41,0,58,black
15,0,0,black
5,4,51,black
10,39,37,black
61,67,14,black
57,61,0,black
69,22,67,black
0,62,70,black
22,35,74,black
27,0,43,black
36,28,15,black
44,0,0,black
0,21,0,black
0,8,0,black
30,7,42,black
1,33,73,black
47,39,20,black
65,0,16,black
19,0,8,black
63,69,12,black
71,61,76,black
68,42,76,black
69,62,0,black
0,0,73,black
0,29,45,black
19,59,5,black
54,58,46,black
41,56,37,black
0,0,23,black
20,28,10,black
66,0,18,black
0,32,0,black
25,0,0,black
61,1,42,black
28,23,70,black
0,0,0,black
0,33,33,black
0,28,43,black
43,9,62,black
61,68,24,black
0,0,75,black
74,0,0,black
1,22,36,black
0,0,0,black
0,0,0,black
4,75,55,black
19,61,34,black
25,11,7,black
24,0,7,black
72,23,36,black
40,62,0,black
64,11,27,black
49,0,61,black
0,53,58,black
0,0,44,black
24,21,0,black
40,47,74,black
0,9,26,black
0,0,62,black
55,9,62,black
0,1,77,black
27,66,38,black
30,37,33,black
62,0,10,black
43,0,7,black
62,38,43,black
44,0,0,black
0,49,20,black
45,42,3,black
47,59,0,black
45,0,64,black
0,0,64,black
33,0,64,black
34,34,16,black
0,77,14,black
68,70,41,black
29,20,3,black
14,67,13,black
0,50,8,black
0,43,0,black
0,0,25,black
0,25,0,black
70,0,37,black
53,55,69,black
59,0,0,black
76,26,0,black
20,46,42,black
0,28,0,black
16,14,62,black
30,0,30,black
1,0,2,black
58,57,0,black
0,43,37,black
66,33,4,black
54,41,75,black
0,9,57,black
5,0,56,black
45,71,53,black
65,55,40,black
48,76,0,black
14,0,9,black
35,0,41,black
55,23,32,black
19,0,0,black
75,65,24,black
77,33,46,black
15,55,71,black
38,7,53,black
10,3,18,black
0,4,64,black
47,2,2,black
4,0,0,black
12,0,16,black
53,36,75,black
14,1,9,black
0,58,0,black
39,42,38,black
0,0,5,black
28,26,0,black
53,71,63,black
50,23,35,black
1,34,64,black
43,52,0,black
0,43,53,black
0,0,0,black
36,42,46,black
0,77,0,black
75,0,33,black
34,62,6,black
0,61,0,black
19,8,24,black
27,65,17,black
42,24,50,black
0,40,33,black
23,2,77,black
13,61,7,black
0,0,18,black
12,22,62,black
0,65,11,black
41,23,16,black
44,5,26,black
51,24,12,black
69,50,76,black
0,11,36,black
0,46,71,black
50,29,9,black
0,5,24,black
40,51,8,black
5,51,74,black
62,69,48,black
0,0,33,black
38,0,43,black
0,52,72,black
64,66,77,black
39,73,0,black
72,0,0,black
14,62,44,black
0,0,36,black
29,20,17,black
0,12,41,black
63,0,3,black
27,0,27,black
60,62,63,black
0,23,33,black
56,0,34,black
0,12,28,black
66,0,20,black
15,0,0,black
63,0,3,black
58,0,70,black
13,35,59,black
66,48,37,black
22,0,48,black
6,15,23,black
18,5,0,black
0,23,43,black
21,0,49,black
26,41,10,black
0,75,46,black
14,0,40,black
66,37,0,black
35,13,26,black
23,42,36,black
0,33,19,black
0,0,60,black
34,63,55,black
7,24,0,black
0,48,0,black
5,1,70,black
17,38,41,black
73,55,23,black
46,48,69,black
0,3,6,black
7,65,0,black
11,53,12,black
53,0,15,black
0,67,25,black
50,52,0,black
30,31,29,black
70,0,0,black
0,0,23,black
74,7,47,black
76,0,0,black
